customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
2824-AAAA,Male,0,Yes,Yes,51,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,24.84,No,1276.5
5506-HHHH,Female,0,No,Yes,3,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,One year,No,Mailed check,68.38,Yes,201.87
4657-EEEE,Male,0,Yes,Yes,33,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No,Two year,No,Electronic check,51.86,No,1712.32
2679-VVVV,Male,0,No,Yes,68,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No internet service,No,One year,No,Electronic check,83.15,No,5646.95
9935-CCCC,Male,0,Yes,Yes,32,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,One year,No,Credit card (automatic),107.59,No,3431.96
7912-BBBB,Female,0,No,Yes,68,Yes,Yes,DSL,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),30.86,Yes,2099.69
1488-CCCC,Male,0,No,No,37,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,63.51,No,2351.95
4582-HHHH,Male,0,Yes,No,25,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,60.78,Yes,1528.73
9279-TTTT,Male,0,No,Yes,0,Yes,No,No,No,No internet service,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),50.79,No, 
1434-RRRR,Female,0,Yes,Yes,3,Yes,No,DSL,No internet service,No,No,Yes,No,No,Two year,Yes,Mailed check,66.51,No,191.9
4257-WWWW,Male,1,Yes,Yes,38,Yes,No,No,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),106.76,No,4046.38
9928-NNNN,Male,0,Yes,Yes,53,No,No,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,116.1,Yes,6171.08
4611-OOOO,Male,1,No,No,32,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,18.54,No,594.59
5557-ZZZZ,Male,0,No,No,32,Yes,No,DSL,No,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,92.52,No,2946.87
1106-YYYY,Female,0,Yes,Yes,71,Yes,No,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),80.07,No,5684.42
3615-WWWW,Male,0,Yes,No,19,Yes,No,No,No,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),118.2,Yes,2239.23
